,productid,product_name,brand_name,event_date_of_launch,country_of_launch,market_category,market_subcategory,Company,uhc,nutrition,standard_serving_size,energy_kcal,protein,fat, Fiber_DietaryFiber,Fat,Fiber,Protein,Moisture,Ash,Calories
0,7955531,Hills Prescription Diet Cd Multicare Plus Metabolic Dry Pet Food With Chicken Flavor For Cats,Prescription Diet,2022-01-04,United States,Pet Food,Cat Food - Dry,Hills Pet Nutrition,Colgate Palmolive,"serving size: 1.00kg, fat: 12%, sodium: 0.35%, potassium: 0.86%, crude fiber: 13.4%, protein: 38.80%, carbohydrate / nfe: 30.60%, calcium: 0.71%, phosphorus: 0.62%, magnesium: 0.07%, taurine: 0.43%, vitamin c: 5.00ppm, vitamin e: 725.00iu, total omega-3 fatty acids: 1.30%, total omega-6 fatty acids: 3.49%",1000.0,,0.0,0.0,,12,13.4,38.80,,,
1,4973587,Pureluxe Grain Free Holistic Elite Nutrition For Adult Cats Made With Fresh Turkey,Pureluxe,2018-01-04,United States,Pet Food,Cat Food - Dry,Pureluxe,Pureluxe,"vitaminemg: 80iu, taurine(g/mg): 1200mg, glucosamine(g/mg): 700mg, chondroitin(g/mg): 600mg, l-carnitine(g/mg): 140mg, totallactic acidmicroorganisms(g/mg): 80million cfu, calcium: 1.2%, crudeprotein: 32%, crudefat: 14%, crudefiber: 5%, moisture: 10%, sodium carbonate (ash): 8%, phosphorus: 1%, magnesium: 0.15%, dha: 0.12%, omega-6fattyacids: 3%, omega-3fattyacids: 1%, epa: 0.08%",,,,,,1,5,32,10,8,
2,5998993,O Paws Beef Tripe Rounds For Pets,O Paws,2019-01-08,United States,Pet Food,Dog Snacks/Treats,Omas Pride,Omas Pride,"crudeprotein: 38%, crudefat: 45%, crudefiber: 3%, moisture: 5%",,,,,,45,3,38,5,,
3,8089953,Justfoodfordogs Metabolic Support Complete Meal For Dogs,Just Food For Dogs,2022-01-06,United States,Pet Food,Dog Food - Wet,Just Food For Dogs,Just Food For Dogs,"serving size: 1.00kg, total calories: 1100.00kcal, crude fiber: 1.50%, moisture: 77.00%, crude protein: 9.50%, crude fat: 3.00%",1000.0,110000.0,,,,3.00,1.50,9.50,77.00,,1100.00
4,7631985,"Solid Gold Sunday Everyday Nutrition Lamb, Sweet Potato And Pea Recipe Dry Pet Food For Adult Dogs",Solid Gold,2021-01-12,United States,Pet Food,Dog Food - Dry,Soid Gold Pet,Health And Happiness Group,"per serving size: 1kg, energy kj: 14644kj, energy kcal: 3500kcal, crude fat: 12%, crude fiber: 4%, crude protein: 22%, dha: 0.02%, moisture: 10%, totalmicroorganisms(g/mg): 200thousand cfu, vitamin c (g/mg): 100mg, vitamin  e(g/mg): 100iu, omega - 3 fatty acids: 0.1%, omega-6 fatty  acids: 1%",100.0,350.0,,,,12,4,22,10,,
5,5954712,Purina Beneful Incredibites With Real Chicken Dry Dog Food,Purina Beneful,2019-01-07,United States,Pet Food,Dog Food - Dry,Nestle Purina,Nestle,"total calories: 3631kcal, vitaminamg: 12500iu, selenium(g/mg): 0.35mg, vitaminemg: 150iu, calcium: 1.1%, crudeprotein: 26%, crudefat: 13.5%, crudefiber: 4%, moisture: 14%",,3631.0,,,,13.5,4,26,14,,3631
6,5251781,Sport Dog Food Active Series Tracking Dog Buffalo And Oatmeal Formula Pea Free Dry Dog Food,Sport Dog Food,2018-01-08,United States,Pet Food,Dog Food - Dry,Sport Dog Food,Sport Dog Food,"total calories: 3846kcal, crudeprotein: 30%, crudefat: 20%, crudefiber: 3.3%, moisture: 9%",,3846.0,,,,20,3.3,30,9,,3846
7,6816566,Iams Protective Health High Protein Premium Dog Food With Real Chicken And Turkey Flavors,Iams,2020-01-09,United States,Pet Food,Dog Food - Dry,Mars,Mars,"calcium: 1.20%, crudefat: 18.0%, crude fiber: 5.0%, l -carnitine(g/mg): 30.0mg, crudeprotein: 30.0%, moisture: 9.0%, omega3fattyacid: 0.250%, omega 6 fatty acid: 2.50%, phosphorus: 0.80%",,,,,,0.250,5.0,30.0,9.0,,
8,4511529,Purina Bella Pampered Meals Inspired By Small Dogs With Grilled Top Sirloin Flavor In Savory Juices,Bella,2018-01-02,United States,Pet Food,Dog Food - Wet,Nestle Purina,Nestle,"total calories: 876kcal, moisture: 82%, crudeprotein: 8%, crudefat: 3.5%, crudefiber: 1%",,876.0,,,,3.5,1,8,82,,876
9,7040086,Purina Bella Morsels In Sauce Roasted Turkey Flavor With Pumpkin And Spinach Natural Dog Food,Bella,2020-01-12,United States,Pet Food,Dog Food - Wet,Nestle Purina,Nestle,"total calories: 981kcal, crude protein: 11%, crude fat: 2%, crude fiber: 1%, moisture: 78%",,981.0,,,,2,1,11,78,,981
